,年化收益率 (%),夏普比率,最大回撤 (%),Alpha
融合策略 (Model-F),144.70450557848386,2.9820956206415614,-12.913306262489558,118.46374479334123
技术强化策略 (Model-T),64.18728770442776,1.7170593370936473,-14.874405190802943,37.94652691928513
沪深300基准 (等权),26.240760785142637,1.622242785303099,-11.052479268047536,0.0
