date,code,sec_name
2025-04-28,603501.SH,豪威集团
2025-04-29,002352.SZ,顺丰控股
2025-04-30,688036.SH,传音控股
2025-05-06,002252.SZ,上海莱士
2025-05-07,002648.SZ,卫星化学
2025-05-08,000999.SZ,华润三九
2025-05-09,601800.SH,中国交建
2025-05-12,688041.SH,海光信息
2025-05-13,601328.SH,交通银行
2025-05-14,600150.SH,中国船舶
2025-05-15,601800.SH,中国交建
2025-05-16,002600.SZ,领益智造
2025-05-19,002600.SZ,领益智造
2025-05-20,600016.SH,民生银行
2025-05-21,600999.SH,招商证券
2025-05-22,601136.SH,首创证券
2025-05-23,002311.SZ,海大集团
2025-05-26,002311.SZ,海大集团
2025-05-27,002311.SZ,海大集团
2025-05-28,002459.SZ,晶澳科技
2025-05-29,002459.SZ,晶澳科技
2025-05-30,688012.SH,中微公司
2025-06-03,601838.SH,成都银行
2025-06-04,300502.SZ,新易盛
2025-06-05,600919.SH,江苏银行
2025-06-06,600919.SH,江苏银行
2025-06-09,601456.SH,国联民生
2025-06-10,601456.SH,国联民生
2025-06-11,000725.SZ,京东方A
2025-06-12,600050.SH,中国联通
2025-06-13,601898.SH,中煤能源
2025-06-16,000807.SZ,云铝股份
2025-06-17,000807.SZ,云铝股份
2025-06-18,002352.SZ,顺丰控股
2025-06-19,601600.SH,中国铝业
2025-06-20,601298.SH,青岛港
2025-06-23,300979.SZ,华利集团
2025-06-24,600570.SH,恒生电子
2025-06-25,000938.SZ,紫光股份
2025-06-26,002736.SZ,国信证券
2025-06-27,688009.SH,中国通号
2025-06-30,600372.SH,中航机载
2025-07-01,600372.SH,中航机载
2025-07-02,001391.SZ,国货航
2025-07-03,600926.SH,杭州银行
2025-07-04,601658.SH,邮储银行
2025-07-07,300347.SZ,泰格医药
2025-07-08,600660.SH,福耀玻璃
2025-07-09,002493.SZ,荣盛石化
2025-07-10,002493.SZ,荣盛石化
2025-07-11,002049.SZ,紫光国微
2025-07-14,600085.SH,同仁堂
2025-07-15,600999.SH,招商证券
2025-07-16,600039.SH,四川路桥
2025-07-17,300251.SZ,光线传媒
2025-07-18,002384.SZ,东山精密
2025-07-21,002028.SZ,思源电气
2025-07-22,600489.SH,中金黄金
2025-07-23,601236.SH,红塔证券
